date,network,field,value
2026-04-30,youtube,content_day,1.0
2026-04-30,youtube,engagement_rate_day,1.52
2026-04-30,youtube,reactions_day,1014.0
2026-04-30,youtube,referrals_day,13.0
2026-04-30,youtube,subscribers,91000.0
2026-04-30,youtube,views_day,66765.0
2026-05-01,instagram,content_day,1.0
2026-05-01,instagram,engagement_rate_day,3.35
2026-05-01,instagram,reactions_day,34.0
2026-05-01,instagram,referrals_day,1.0
2026-05-01,instagram,subscribers,20212.0
2026-05-01,telegram,content_day,1.0
2026-05-01,telegram,engagement_rate_day,2.42
2026-05-01,telegram,referrals_day,36.0
2026-05-01,telegram,subscribers,13185.0
2026-05-01,telegram,views_day,3432.0
2026-05-01,vk,content_day,2.0
2026-05-01,vk,engagement_rate_day,5.28
2026-05-01,vk,referrals_day,16.0
2026-05-01,vk,subscribers,23022.0
2026-05-01,youtube,content_day,0.0
2026-05-01,youtube,engagement_rate_day,1.47
2026-05-01,youtube,reactions_day,796.0
2026-05-01,youtube,referrals_day,17.0
2026-05-01,youtube,subscribers,91022.0
2026-05-01,youtube,views_day,54307.0
2026-05-02,instagram,content_day,1.0
2026-05-02,instagram,engagement_rate_day,4.37
2026-05-02,instagram,reactions_day,34.0
2026-05-02,instagram,referrals_day,0.0
2026-05-02,instagram,subscribers,20220.0
2026-05-02,telegram,content_day,0.0
2026-05-02,telegram,referrals_day,11.0
2026-05-02,telegram,subscribers,13184.0
2026-05-02,telegram,views_day,1221.0
2026-05-02,vk,content_day,1.0
2026-05-02,vk,engagement_rate_day,5.85
2026-05-02,vk,referrals_day,8.0
2026-05-02,vk,subscribers,23036.0
2026-05-02,youtube,content_day,1.0
2026-05-02,youtube,engagement_rate_day,1.12
2026-05-02,youtube,reactions_day,614.0
2026-05-02,youtube,referrals_day,10.0
2026-05-02,youtube,subscribers,91037.0
2026-05-02,youtube,views_day,55060.0
2026-05-03,instagram,content_day,1.0
2026-05-03,instagram,engagement_rate_day,3.55
2026-05-03,instagram,reactions_day,239.0
2026-05-03,instagram,referrals_day,6.0
2026-05-03,instagram,subscribers,20228.0
2026-05-03,telegram,content_day,1.0
2026-05-03,telegram,engagement_rate_day,0.46
2026-05-03,telegram,referrals_day,29.0
2026-05-03,telegram,subscribers,13212.0
